course_code,course_name,faculty,department,Academic_Level,programme,year,semester,is_jan_april_2026_offering
CDEV 220,CRIME AND DEVELOPMENT STREAMS: CDEV (ODEL),Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 2,2,1
CDEV 222,COMMUNITY ORGANIZING STREAMS: BSC CDEV Y2S1 (ODEL),Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 2,2,0
CDEV 224,COLLECTIVE MOVEMENTS IN COMMUNITIES STREAMS: CDEV ODEL,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 2,2,0
CDEV 250,COMMUNITY DEVELOPMENT AND ECOTOURISM STREAMS: BSC CDEV (ODEL),Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 2,2,1
CDEV 252,SOCIAL MARKETING AND DEVELOPMENT STREAMS:  TIME: 2 HOURS,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 2,2,0
CDEV 254,POVERTY ERADICATION STREAMS: ODEL,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 2,2,1
CDEV 301,SOCIOLOGICAL THEORY I STREAMS: BSC CDEV,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 3,1,0
CDEV 305,SOCIOLOGY OF URBAN COMMUNTIES/URBAN SOCIOLOGY,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 3,1,1
CDEV 315,APPROPRIATE TECHNOLOGY STREAMS: B.A ODEL,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 3,1,0
CDEV 323,PROJECT PLANNING AND DESIGN STREAMS: B.A CDEV ODEL,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 3,1,0
CDEV 325,PROJECT MONITORING AND EVALUATION,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 3,1,1
CDEV 351,RESEARCH METHODS,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 3,1,1
CDEV 304,SOCIOLOGY OF RURAL SOCIETIES STREAMS: BSC CDEV Y3S1 (ODEL),Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 3,2,0
CDEV 314,LEADERSHIP IN COMMUNITY DEVELOPMENT STREAMS: BSC CDEV Y3S1 (ODEL),Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 3,2,0
CDEV 316,COMMUNITY HEALTH AND SANITATION STREAMS: BSC CDEV,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 3,2,1
CDEV 320,"NETWORK, ADVOCACY AND LOBBYING STREAMS: BSc. CDEV (Y3S1)",Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 3,2,0
CDEV 324,MANAGEMENT OF COMMUNITY HEALTH AND SANITATION,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 3,2,1
CDEV 326,CONFLICT MANAGEMENT IN THE COMMUNITY/ CDEV 210: CONFLICT MANAGEMENT AND RESOLUTION IN THE COMMUNITY,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 3,2,1
CDEV 334,FAMILY THERAPY AND COUNSELLING I,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 3,2,1
CDEV 342,MATERNAL AND CHILD HEALTH,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 3,2,0
CDEV 405,SOCIAL GERONTOLOGY STREAMS: BSC CDEV,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,1,0
CDEV 411,SOCIAL CHANGE AND DEVELOPMENT STREAMS: BSc. CDEV,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,1,0
CDEV 415,HOUSING IMPROVEMENT STREAMS: BSc. CDEV (ODEL),Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,1,1
CDEV 417,WORLD FOOD ISSUES STREAMS: BSC CDEV (ODEL),Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,1,1
CDEV 421,CONTEMPORARY ISSUES IN COMMUNITY DEVELOPMENT STREAMS: BSC: COMMUNITY DEVELOPMENT,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,1,0
CDEV 423,DEMOGRAPHY AND DEVELOPMENT,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,1,0
CDEV 429,COMMUNITY CONSULTANCY STREAMS: B.A ODEL Y4S2,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,1,0
CDEV 443,FOUNDATIONS OF ADULT LEARNING STREAMS: B.A ODEL Y4S2,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,1,1
CDEV 451,MANAGEMENT OF MICRO AND SMALL BUSINESS,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,1,0
CDEV 461,CONTEMPORARY ISSUES IN COMMUNITY DEVELOPMENT,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,1,0
CDEV 402,SOCIOLOGICAL THEORIES II,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,2,0
CDEV 416,HUMAN DISPLACEMENT AND MANAGEMENT STREAMS: BSc. CDEV (ODE,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,2,1
CDEV 422,COMMUNICATION FOR DEVELOPMENT STREAMS: BSC: COMMUNITY DEVELOPMENT,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,2,0
CDEV 428,CDEV 428/SOCI 415: DISASTER MANAGEMENT,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,2,1
CDEV 436,CDEV  436: FAMILY LAWS AND POLICIES,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Community Development,Year 4,2,0
COSC 0013,COSC 00131: INTRODUCTION TO WEB DESIGN,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,1,1
COSC 0017,COSC 00171: COMPUTER NETWORKS AND THE INTERNET,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,1,1
COSC 0019,COSC 00190: INTRODUCTION TO COMPUTER SYSTEMS PROJECT,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,1,1
COSC 0101,INTRODUCTION TO COMPUTER SYSTEMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,1,0
COSC 0141,INTRODUCTION TO WEB BASED PROGRAMMING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,1,1
COSC 0171,IT TECHNICAL SUPPORT AND CUSTOMER CARE,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,1,0
COSC 0211,DIGITAL ELECTRONICS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,1,1
COSC 0231,OBJECT ORIENTED ANALYSIS AND DESIGN,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,1,1
COSC 0243,DATA STRUCTURES AND ANALYSIS OF ALGORITHM,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,1,0
COSC 0251,DATABASE SYSTEM II,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,1,0
COSC 0261,E-SYSTEMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,1,1
COSC 0273,TECHNO-ENTREPRENEURSHIP AND SMALL BUSINESS MANAGEMENT,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,1,1
COSC 0010,COMP/COSC 00108: INTRODUCTION TO DIGITAL LOGIC AND DATA COMMUNICATIONS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,2,1
COSC 0016,COSC 00161: COMPUTER APPLICATIONS IN BUSINESS STREAMS: CERT,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,2,1
COSC 0102,INTRODUCTION TO COMPUTER APPLICATIONS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,2,1
COSC 0120,OPERATING SYSTEMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,2,1
COSC 0130,SYSTEM ANALYSIS AND DESIGN,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,2,1
COSC 0140,FUNDAMENTALS OF COMPUTER PROGRAMMING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,2,1
COSC 0150,DATABASE SYSTEMS I,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,2,1
COSC 0160,DATA COMMUNICATION AND COMPUTER NETWORKS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,2,1
COSC 0170,MATHEMATICS FOR COMPUTING I,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,2,1
COSC 0172,MATHEMATICS FOR COMPUTING II,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,2,1
COSC 0242,DESKTOP APPLICATION DEVELOPMENT,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,2,1
COSC 0280,INTRODUCTION TO RESEARCH METHODS IN COMPUTER SCIENCE,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Certificate/Diploma Level,2,1
COSC 701,COMPUTER APPLICATIONS IN EDUCATION STREAMS: PGDE,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Postgraduate Level,1,0
COSC 801,COMPUTER USE AND APPLICATION IN RESEARCH COSC 802: COMPUTER USE AND APPLICATION IN EDUCATION,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Postgraduate Level,1,0
COSC 811,SIMULATION AND MODELLING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Postgraduate Level,1,0
COSC 821,COMPUTER NETWORKS DESIGN AND MANAGEMENT,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Postgraduate Level,1,0
COSC 831,SYSTEMS PROJECT MANAGEMENT,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Postgraduate Level,1,0
COSC 841,ARTIFICIAL INTELLIGENCE,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Postgraduate Level,1,0
COSC 843,MACHINE LEARNING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Postgraduate Level,1,0
COSC 845,EXPERT SYSTEM AND KNOWLEDGE ENGINEERING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Postgraduate Level,1,0
COSC 851,ADVANCED COMPUTER SECURITY,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Postgraduate Level,1,0
COSC 853,INTERNET SECURITY,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Postgraduate Level,1,0
COSC 861,RESEARCH METHODS IN COMPUTER SCIENCE,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Postgraduate Level,1,0
COSC 812,STRATEGIC INFORMATION SYSTEMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Postgraduate Level,2,0
COSC 822,DISTRIBUTED COMPUTING ARCHTECTURES,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Postgraduate Level,2,0
COSC 854,SECURITY ARCHITECTURE AND DESIGN,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Postgraduate Level,2,0
COSC 101,INTRODUCTION TO COMPUTER SYSTEMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,1,1
COSC 103,INTRODUCTION TO COMPUTER APPLICATIONS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,1,1
COSC 105,INTRODUCTION TO COMPUTER APPLICATIONS IN BUSINESS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,1,1
COSC 107,INTRODUCTION TO COMPUTER PROGRAMMING AND PROBLEM SOLVING.,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,1,1
COSC 111,COMPUTER SYSTEMS AND ORGANIZATION,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,1,1
COSC 113,Introduction to Computer and Programming,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,1,1
COSC 121,INTRODUCTION TO COMPUTERS AND PROGRAMMING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,1,1
COSC 100,INFORMATION TECHNOLOGY AND NATIONAL DEVELOPMENT,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,2,0
COSC 102,DISCRETE MATHEMATICS SOLVING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,2,1
COSC 104,COSC 104/BBAM /BCOM 270: INTRODUCTION TO PROGRAMMING METHODOLOGIES,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,2,1
COSC 106,INFORMATION TECHNOLOGY AND SOCIETY,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,2,0
COSC 110,COMPUTER ARCHITECTURE,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,2,0
COSC 114,INSTALLATION AND CUSTOMIZATION OF COMPUTER SERVICES,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,2,1
COSC 120,FUNDAMENTALS OF COMPUTER PROGRAMMING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,2,0
COSC 130,SYSTEM ANALYSIS AND DESIGN,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 1,2,1
COSC 211,DIGITAL ELECTRONICS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 2,1,0
COSC 221,STRUCTURAL PROGRAMMING (IN C++),Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 2,1,1
COSC 223,OBJECT ORIENTED PROGRAMMING I (JAVA),Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 2,1,1
COSC 225,COMPUTER PROGRAMMING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 2,1,0
COSC 231,OBJECT ORIENTED ANALYSIS AND DESIGN,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 2,1,0
COSC 251,DATABASE DESIGN AND IMPELEMENTATION,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 2,1,1
COSC 261,FUNDAMENTALS OF COMPUTER NETWORKS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 2,1,0
COSC 222,COMPUTER OPERATION SYSTEM,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 2,2,0
COSC 224,OBJECT ORIENTED PROGRAMMING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 2,2,1
COSC 226,PRINCIPLES OF OPERATING SYSTEMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 2,2,1
COSC 250,INTRODUCTION TO DATABASE SYSTEMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 2,2,1
COSC 260,DATA COMMUNICATION,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 2,2,1
COSC 270,TECHNO ENTREPRENEURSHIP AND BUSINESS MANAGEMENT,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 2,2,1
COSC 325,DATA STRUCTURES AND ALGORITHMS ACSC 225:DATA STRUCTURES AND ALGORITHMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,1,1
COSC 327,COMPILER CONSTRUCTION,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,1,1
COSC 331,ESSENTIALS OF OBJECT-ORIENTED SYSTEMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,1,0
COSC 333,DESIGN AND ANALYSIS OF ALGORITHSMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,1,1
COSC 341,ARTIFICIAL INTELLIGENCE,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,1,1
COSC 361,COMPUTER NETWORKS I,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,1,0
COSC 363,COMPUTER NETWORKS 11,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,1,1
COSC 371,AND ACSC 374: COMPUTER GRAPHICS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,1,1
COSC 312,COMPONENTS AND DESIGN TECHNIQUES FOR DIGITAL SYSTEMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,2,0
COSC 316,EMBEDDED SOFTWARE DEVELOPMENT PRINCIPLES,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,2,1
COSC 320,COMPUTER PROGRAMMING IN JAVA,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,2,1
COSC 322,UNIX OS AND PROGRAMMING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,2,0
COSC 326,"WEB DESIGN, DEVELOPMENT AND ADMINISTRATION",Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,2,1
COSC 332,SOFTWARE ENGINEERING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,2,1
COSC 340,/ COMP 303: THEORY OF COMPUTATION,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,2,0
COSC 360,COMPUTER NETWORKS DESIGN AND MANAGEMENT,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,2,0
COSC 362,WIRELESS AND MOBILE COMPUTING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,2,1
COSC 380,RESEARCH METHODS IN COMPUTER SCIENCE AND ACSC 381: RESEARCH METHODS IN APPLIED COMPUTER SCIENCE,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 3,2,0
COSC 435,USER INTERFACE DESIGN ACSC 435: HUMAN COMPUTER INTERFACE,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,1,0
COSC 447,DATA WAREHOUSING AND DATA MINING ACSC 411: DATA MINING AND KNOWLEDGE DISCOVERY,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,1,1
COSC 451,ADVANCED DATABASE SYSTEMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,1,0
COSC 461,COMPUTER NETWORKS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,1,0
COSC 465,DISTRIBUTED SYSTEMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,1,1
COSC 473,E- COMMERCE TECHNOLOGIES,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,1,0
COSC 475,SPECIAL TOPICS IN COMPUTER SCIENCE,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,1,1
COSC 416,Knowledge Based Systems,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,2,0
COSC 428,OPERATING SYSTEMS DESIGN,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,2,0
COSC 434,COMPONENT BASED ARCHITECTURES,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,2,0
COSC 436,SOFTWARE PROJECT MANAGEMENT,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,2,1
COSC 442,DECISION SUPPORT SYSTEMS,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,2,1
COSC 452,GEOGRAPHIC INFORMATION SYSTEMS (GIS),Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,2,0
COSC 464,CRYPTOGRAPHY AND COMPUTER SECURITY   COSC 461: COMPUTER SYSTEMS SECURITY,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,2,0
COSC 468,NETWORK MANAGEMENT,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,2,1
COSC 472,STRATEGIC INFORMATION SYSTEM BCOM (y4s2),Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,2,1
COSC 476,INFORMATION SYSTEMS AUDITING,Faculty of Science & Technology,Department of Computer Sciences,Bachelor,Bachelor of Science (Computer Science),Year 4,2,0
ECON 0012,CIBM/ECON 00121: INTRODUCTION TO ECONOMICS,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Certificate/Diploma Level,2,1
ECON 101,ECON 101/140: CONTEMPORARY ECONOMIC ISSUES IN AFRICA,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 1,1,1
ECON 111,ECON 111/BCOM 102: PRINCIPLES OF MICROECONOMICS STREAMS: AS ABOVE,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 1,1,0
ECON 121,PRINCIPLES OF MACROECONOMICS STREAMS: ECON (ODEL),Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 1,1,1
ECON 131,ECON 131/130: INTRODUCTION TO MATHEMATICS FOR ECONOMISTS,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 1,1,0
ECON 100,ECON 100/BPLM 101: INTRODUCTION TO ECONOMICS STREAMS: ECON,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 1,2,1
ECON 233,ECONOMIC STATISTICS I,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 2,1,1
ECON 235,ECONOMICS STATISTICS II,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 2,1,1
ECON 212,INTERMEDIATE MICROECONOMICS (ODEL),Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 2,2,0
ECON 222,INTERMEDIATE MACROECONOMICS STREAMS: ECON ODEL,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 2,2,1
ECON 230,ECON 230/232: MATHEMATICS FOR ECONOMISTS I,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 2,2,0
ECON 232,MATHEMATICS FOR ECONOMISTS 1  STREAMS: “AS ABOVE Y2S1”,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 2,2,0
ECON 234,ECON 234/220: MATHEMATICS FOR ECONOMISTS II,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 2,2,1
ECON 303,WORLD FOOD ECONOMY STREAMS:’AS ABOVE’,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 3,1,0
ECON 305,ECONOMIC DEVELOPMENT II,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 3,1,1
ECON 313,ADVANCED MICROECONOMICS THEORY STREAMS: BSC.ECON,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 3,1,0
ECON 323,ADVANCED MACROECONOMICS THEORY,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 3,1,1
ECON 325,ECONOMICS OF TRANSPORT AND INFRASTRUCTURE,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Science in Economics and Statistics,Year 3,1,0
