course_code,course_name
AGED 821,PLANNING AND TEACHING IN AGRICULTURAL EDUCATION STREAMS: PART TIME
AGED 822,ADVANCED CURRICULUM DEVELOPMENT STREAMS: M.SCI (AGED) LIBII (PART TIME)
AGED 841,RESEARCH METHODS IN AGRICULTURAL EDUCATION & EXTENSION STREAMS: MSC (AGED) PART-TIME
AGEN 0013,AGEN 00134: FARM STRUCTURES AND MACHINERY
AGEN 0232,INTRODUCTION TO AGRICULTURAL FIELD MACHINES
AGEN 0342,FARM STRUCTURES
AGEN 111,AGEN 111/ EENG 112: INTRODUCTION TO TECHNICAL DRAWING
AGEN 112,INTRODUCTIONS TO WORKSHOP TECHNOLOGY
AGEN 131,BASIC FARM POWER SOURCE AND UTILIZATION
AGEN 331,INTRODUCTION TO AGRICULTURAL FIELD MACHINES
AGEN 341,FARM STRUCTURES
AGEN 352,SOIL AND WATER MANAGEMENT
AGEN 353,IRRIGATION AND DRAINAGE
AGEX 811,COMMUNICATION TECHNOLOGY STREAMS: MSC (AGEX)
AGEX 832,EXTENSION PROGRAMME DEVELOPMENT AND IMPLEMENTATION STREAMS: MSC (AGEX)
AGEX 833,MONITORING ANAD EVALUATION IN AGRICULTURAL EXTENSION STREAMS: MSC (AGEX)
AGEX 834,MANAGEMENT OF AGRICULTURAL ORGANIZATIONS
AGEX 835,COMPARTIVE EXTENSION EDUCATION STREAMS: MSC (AGEX) Y1S1
AGEX 841,/ AGED 841: RESEARCH METHODS IN AGRICULTURAL EDUCATION 				     AND EXTENSION
AGEX 935,SUSTAINABLE LIVELIHOODS AND RURAL DEVELOPMENT
AGHE 242,HUMAN HEALTH
AGHE 313,EXTENSION METHODS IN HUMAN ECOLOGY
AGHE 331,APPROPRIATE TECHNOLOGY I
AGHE 414,OUTREACH PROGRAMME
AGHE 435,HOUSING IMPROVEMENT
AGRI 0027,AGRI 00271: PASTURES AND FODDER PRODUCTION
AGRI 0102,PRINCIPLES OF CROP PRODUCTION
AGRI 0211,CROP ENVIRONMENT AND PHYSIOLOGY
AGRI 0232,CROP PATHOLOGY
AGRI 0233,CROP ENTOMOLOGY
AGRI 0251,ANNUAL CROPS
AGRI 0291,AGRICULTURAL STATISTICS AND EXPERIMENTATION
AGRI 0311,POST-HARVEST TECHNOLOGY OF FIELD CROPS
AGRI 0322,PLANT BREEDING
AGRI 102,PRINCIPLES OF CROP PRODUCTION
